DATE,MNBPPRIVSA
2010-11-01,637.071365674592
2010-12-01,678.631009956998
2011-01-01,494.61234690391404
2011-02-01,589.31861853948
2011-03-01,601.518074692005
2011-04-01,711.7650147655479
2011-05-01,561.219792753995
2011-06-01,794.295623568943
2011-07-01,694.3951333593479
2011-08-01,691.619959464783
2011-09-01,702.7098419506101
2011-10-01,671.1615923915181
2011-11-01,823.6805377818159
2011-12-01,821.472299362321
2012-01-01,1180.26541412292
2012-02-01,1756.8899337579599
2012-03-01,778.1463529196241
2012-04-01,1060.97413919075
2012-05-01,871.194123780906
2012-06-01,926.503303285667
2012-07-01,1181.2870730336301
2012-08-01,1063.29770189079
2012-09-01,1478.4804605794102
2012-10-01,1631.8212866909803
2012-11-01,1423.2525638157902
2012-12-01,1879.8935235174201
2013-01-01,1099.68900593244
2013-02-01,1300.26411627718
2013-03-01,1368.47465012892
2013-04-01,1508.3309092840198
2013-05-01,1423.0045799622799
2013-06-01,1036.27427438684
2013-07-01,1678.45969641771
2013-08-01,1613.07526822163
2013-09-01,1502.28873615141
2013-10-01,1249.68568332357
2013-11-01,1344.63936131334
2013-12-01,1434.71168477426
2014-01-01,1244.22597233159
2014-02-01,1202.30320476615
2014-03-01,1385.8811874707699
2014-04-01,1188.70586062894
2014-05-01,1685.24930701771
2014-06-01,1533.20021591823
2014-07-01,1517.47616014614
2014-08-01,1435.57858155052
2014-09-01,1521.17302073179
2014-10-01,1519.68336709514
2014-11-01,740.453380523954
2014-12-01,1497.6306035938098
2015-01-01,2098.18605769245
2015-02-01,1581.68014614376
2015-03-01,1700.93476814047
2015-04-01,1516.8322554084302
2015-05-01,1793.1535479695199
2015-06-01,1871.5175650840602
2015-07-01,1714.40310503952
2015-08-01,1642.76844328177
2015-09-01,1795.0549791435699
2015-10-01,1895.2604926032602
2015-11-01,1634.12441108629
2015-12-01,910.5084641409261
2016-01-01,1378.78544388335
2016-02-01,2045.9220811394198
2016-03-01,1513.12088189102
2016-04-01,2129.13008754554
2016-05-01,1662.69705997782
2016-06-01,1730.8360590507
2016-07-01,1875.8346928959
2016-08-01,2224.43323976908
2016-09-01,2056.49300301063
2016-10-01,1964.5987528650896
2016-11-01,2498.9723693692604
2016-12-01,2439.3455243730605
2017-01-01,2659.9217232871397
2017-02-01,2522.3535537083803
2017-03-01,2703.9620506352
2017-04-01,2208.64924403171
2017-05-01,1788.0792200564001
2017-06-01,2091.4179110998602
2017-07-01,1489.57405122754
2017-08-01,1800.3948744323102
2017-09-01,1994.3252631322302
2017-10-01,1949.8035714948498
2017-11-01,1990.8809465491101
2017-12-01,1820.92699363453
2018-01-01,2855.95823254174
2018-02-01,2014.2401220486101
2018-03-01,1793.37768596663
2018-04-01,2014.64599575143
2018-05-01,2372.88274321373
2018-06-01,2191.9388111323
2018-07-01,2504.1859764607298
2018-08-01,3231.4964023572697
2018-09-01,1936.6855045737802
2018-10-01,2153.55205823728
2018-11-01,1936.55130169888
2018-12-01,1122.21518527524
2019-01-01,2192.55075637441
2019-02-01,2455.2006045909898
2019-03-01,2263.20193289039
2019-04-01,2728.87413771475
2019-05-01,2677.27964702201
2019-06-01,1893.1250992270398
2019-07-01,2320.59737243898
2019-08-01,2578.9462960606697
2019-09-01,1685.73396977169
2019-10-01,2905.43067635924
2019-11-01,2950.87553614585
2019-12-01,3362.0836810577002
2020-01-01,2479.0723274338397
2020-02-01,1551.0147745425597
2020-03-01,2263.63469210294
2020-04-01,2189.8716800189104
2020-05-01,1988.97215612845
2020-06-01,2639.3713821115803
2020-07-01,2944.8316657954497
2020-08-01,2712.87541136532
2020-09-01,2624.77666106975
2020-10-01,2360.40679834448
2020-11-01,2718.44191966381
2020-12-01,3226.0866202598104
2021-01-01,3615.27961180359
2021-02-01,3058.96148463706
2021-03-01,3123.75978856115
2021-04-01,2936.83467897681
2021-05-01,3111.48513355695
2021-06-01,2949.8247325913203
2021-07-01,2688.35410173934
2021-08-01,3045.4816208236703
2021-09-01,3171.1615183173103
2021-10-01,3517.42700293412
2021-11-01,3119.88490011878
2021-12-01,3327.20585334122
2022-01-01,2385.49947022877
2022-02-01,3529.96832958817
2022-03-01,3733.9016768147603
2022-04-01,3247.9473022725106
2022-05-01,2948.65257772456
2022-06-01,2717.46590532198
2022-07-01,2512.29177837723
2022-08-01,2279.60525848198
2022-09-01,2470.37874804149
2022-10-01,2243.2067269173003
2022-11-01,2149.52277661633
2022-12-01,1791.16344434087
2023-01-01,2071.21107740043
2023-02-01,1946.2617748061398
